gene,pathway
HK1,GLYCOLYSIS
HK2,GLYCOLYSIS
HK3,GLYCOLYSIS
GPI,GLYCOLYSIS
PFKL,GLYCOLYSIS
PFKM,GLYCOLYSIS
PFKP,GLYCOLYSIS
ALDOA,GLYCOLYSIS
ALDOB,GLYCOLYSIS
ALDOC,GLYCOLYSIS
TPI1,GLYCOLYSIS
GAPDH,GLYCOLYSIS
PGK1,GLYCOLYSIS
PGK2,GLYCOLYSIS
PGAM1,GLYCOLYSIS
PGAM2,GLYCOLYSIS
ENO1,GLYCOLYSIS
ENO2,GLYCOLYSIS
ENO3,GLYCOLYSIS
PKM,GLYCOLYSIS
PKLR,GLYCOLYSIS
LDHA,GLYCOLYSIS
LDHB,GLYCOLYSIS
LDHC,GLYCOLYSIS
SLC16A1,GLYCOLYSIS
SLC16A3,GLYCOLYSIS
PDK1,GLYCOLYSIS
PDK2,GLYCOLYSIS
PDK3,GLYCOLYSIS
PDK4,GLYCOLYSIS
PDHA1,GLYCOLYSIS
PDHA2,GLYCOLYSIS
PDHB,GLYCOLYSIS
G6PD,GLYCOLYSIS
PGD,GLYCOLYSIS
TALDO1,GLYCOLYSIS
TKT,GLYCOLYSIS
