gene,pathway
NDUFA1,OXPHOS
NDUFA2,OXPHOS
NDUFA3,OXPHOS
NDUFA4,OXPHOS
NDUFA5,OXPHOS
NDUFA6,OXPHOS
NDUFA7,OXPHOS
NDUFB1,OXPHOS
NDUFB2,OXPHOS
NDUFB3,OXPHOS
NDUFB4,OXPHOS
NDUFB5,OXPHOS
NDUFB6,OXPHOS
NDUFB7,OXPHOS
SDHB,OXPHOS
SDHC,OXPHOS
SDHD,OXPHOS
UQCRC1,OXPHOS
UQCRC2,OXPHOS
UQCRB,OXPHOS
CYC1,OXPHOS
COX4I1,OXPHOS
COX5A,OXPHOS
COX5B,OXPHOS
COX6A1,OXPHOS
COX6B1,OXPHOS
COX7A1,OXPHOS
COX7A2,OXPHOS
ATP5F1A,OXPHOS
ATP5F1B,OXPHOS
ATP5F1C,OXPHOS
ATP5F1D,OXPHOS
ATP5MC1,OXPHOS
ATP5PB,OXPHOS
CS,OXPHOS
ACO2,OXPHOS
IDH2,OXPHOS
IDH3A,OXPHOS
OGDH,OXPHOS
SUCLA2,OXPHOS
SDHA,OXPHOS
FH,OXPHOS
MDH2,OXPHOS
