,ACO2,ALDOA,ALDOB,ALDOC,COX4I1,COX5A,COX5B,COX6A1,COX6B1,COX7A1,COX7A2,CS,CYC1,ENO1,ENO2,ENO3,FH,G6PD,GAPDH,GPI,HK1,HK2,HK3,IDH2,IDH3A,LDHA,LDHB,LDHC,MDH2,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,OGDH,PDHA1,PDHB,PDK1,PDK2,PDK3,PDK4,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGD,PGK1,PGK2,PKLR,SDHA,SDHB,SDHC,SDHD,SLC16A1,SLC16A3,SUCLA2,TALDO1,TKT,TPI1,UQCRB,UQCRC1,UQCRC2
TCGA-3C-AAAU,11.2,14.56,3.37,7.84,12.02,10.17,9.85,10.55,10.86,5.09,9.22,11.56,10.66,13.44,11.54,7.56,10.41,10.78,14.82,12.58,11.64,9.97,4.55,11.97,10.32,13.69,10.72,5.56,11.81,10.59,10.13,7.79,11.63,10.43,9.77,9.6,9.06,10.5,8.73,10.58,9.82,9.05,10.2,11.46,10.41,10.2,8.2,8.78,7.89,8.68,12.19,9.41,10.06,11.15,6.92,10.82,12.71,0.0,4.08,11.11,10.62,10.77,9.56,9.57,8.97,8.34,11.53,11.56,12.74,11.18,11.19,11.24
TCGA-3C-AALI,11.16,15.7,3.11,11.31,12.53,11.21,11.87,12.09,11.47,6.03,10.89,11.72,11.78,14.27,10.91,6.77,10.33,10.76,16.3,13.03,11.91,12.14,7.02,12.86,10.39,13.99,9.83,1.4,12.16,9.95,10.05,10.27,11.32,10.32,10.17,9.48,10.28,11.05,9.39,11.54,10.13,9.24,11.09,12.35,11.35,10.06,8.21,10.67,9.06,8.17,12.24,9.03,11.35,11.47,7.26,11.53,13.08,2.91,2.0,11.22,10.01,10.62,10.14,7.89,12.91,9.42,12.06,12.21,13.55,11.14,11.61,11.62
TCGA-3C-AALJ,10.93,14.56,0.93,8.96,12.89,10.44,11.36,11.99,11.98,6.91,11.57,11.49,11.98,13.54,8.13,5.86,10.24,11.39,15.85,12.74,12.43,10.51,6.69,11.85,9.52,12.98,10.45,3.33,11.42,10.97,10.62,9.74,11.61,10.46,9.83,10.41,9.57,10.51,8.97,11.43,9.84,9.89,10.46,11.09,10.09,10.49,7.62,8.19,7.18,11.1,11.28,10.1,10.23,11.31,6.3,11.19,12.34,1.49,0.0,10.7,10.12,10.76,9.76,8.09,9.58,9.11,12.71,12.84,13.18,12.64,11.88,10.27
TCGA-3C-AALK,11.65,14.87,2.24,6.35,11.88,10.57,10.9,11.32,11.54,6.5,10.83,12.03,11.05,13.85,8.53,5.24,10.4,10.93,15.5,12.57,11.89,10.46,4.32,12.1,9.42,13.11,10.91,0.0,11.45,10.59,10.2,10.05,11.68,10.16,10.27,9.7,9.36,10.73,9.19,11.24,9.71,9.45,10.57,11.5,10.24,9.87,7.17,9.34,7.89,9.03,11.76,9.15,9.4,11.73,4.92,11.97,12.44,0.0,1.44,10.73,10.15,11.02,9.94,8.32,9.41,9.22,11.77,11.72,12.61,11.32,11.48,11.47
TCGA-4H-AAAK,11.22,14.3,2.39,8.53,11.34,9.43,10.24,11.02,11.26,7.05,10.52,11.42,11.34,14.14,9.38,5.39,10.08,9.84,15.47,12.06,12.34,10.28,5.74,11.56,8.99,13.51,10.08,4.39,11.8,10.19,9.82,9.57,11.34,10.35,9.76,10.44,9.17,10.19,9.05,10.56,9.9,9.75,10.96,11.09,10.19,10.41,7.82,10.16,7.41,9.87,11.88,9.85,9.77,11.62,4.53,11.23,12.85,0.0,0.0,11.13,10.13,10.57,9.65,8.38,9.77,9.62,11.43,11.87,12.4,11.55,11.34,11.34
TCGA-5L-AAT0,11.24,14.18,1.12,8.03,11.94,10.33,10.84,11.22,11.43,7.42,10.82,11.85,10.81,13.61,9.11,6.1,10.19,9.64,14.39,12.22,11.67,11.57,5.08,10.67,9.15,12.96,10.91,1.74,11.54,10.41,10.2,9.73,11.48,10.36,9.98,9.76,9.33,10.62,9.3,11.14,10.16,9.55,10.61,10.91,10.03,10.18,6.87,9.51,7.8,8.75,11.68,9.87,9.38,11.53,6.18,10.63,12.5,0.0,0.83,10.84,10.42,11.01,10.25,9.49,9.51,9.31,11.54,10.67,11.95,11.34,10.86,11.38
TCGA-5T-A9QA,12.32,13.86,4.23,10.66,11.93,10.28,10.57,11.17,11.55,4.23,10.8,11.43,11.72,13.53,10.11,8.19,11.5,8.96,15.23,12.16,12.63,11.8,5.76,12.49,10.11,14.22,7.99,0.0,11.88,9.79,8.69,9.96,11.05,10.06,10.86,10.11,10.14,10.29,9.44,11.04,10.49,9.67,10.36,10.12,10.01,10.65,7.0,10.12,7.36,5.78,12.65,8.68,9.07,11.95,4.19,10.84,12.33,0.0,3.01,11.04,9.97,12.22,9.77,8.25,9.03,10.34,12.46,11.42,12.95,11.5,12.18,11.84
TCGA-A1-A0SB,11.24,13.29,2.46,8.26,12.22,10.18,10.0,10.23,10.91,6.41,9.56,12.36,10.28,14.83,7.26,5.51,10.34,9.21,15.5,11.88,12.12,10.6,1.89,11.94,9.34,12.36,12.78,3.19,11.89,9.44,8.87,8.26,11.62,9.89,9.12,8.18,8.52,9.36,8.15,10.28,9.95,8.82,9.6,11.77,10.54,10.07,8.5,9.56,9.5,9.9,11.09,10.48,10.06,10.82,4.25,11.4,12.12,0.0,1.16,11.12,9.75,10.23,10.34,8.6,6.12,9.77,10.9,11.47,11.94,11.54,11.49,11.94
TCGA-A1-A0SE,11.44,14.47,2.1,7.4,11.33,10.51,10.56,10.32,11.26,6.29,9.78,12.05,10.53,13.69,9.09,4.07,10.93,10.24,15.68,11.98,12.31,10.29,2.57,11.83,9.35,13.39,10.84,1.57,11.8,10.21,9.72,8.56,11.21,10.45,9.85,9.03,9.19,9.97,9.07,10.64,10.04,9.21,9.56,11.06,9.78,10.46,7.37,9.96,8.17,9.75,11.48,10.83,9.24,11.31,3.15,11.57,12.68,0.0,1.43,10.99,10.18,11.76,9.86,8.57,7.77,9.25,11.25,11.75,12.65,11.43,11.37,12.03
TCGA-A1-A0SF,11.63,14.9,1.84,7.56,11.89,10.34,11.06,10.78,11.97,6.7,10.27,12.4,11.01,13.51,7.41,4.18,10.68,10.48,15.57,12.46,12.46,12.13,2.28,13.89,9.75,13.24,10.57,0.51,12.24,10.65,10.06,10.03,11.73,11.05,9.95,9.79,9.55,10.42,9.12,11.39,10.24,9.27,10.48,11.17,10.36,10.47,7.67,9.26,8.17,11.66,12.2,10.25,8.21,11.09,4.28,11.38,12.66,0.0,0.0,11.34,10.37,11.25,10.53,7.67,7.51,9.07,11.32,10.98,12.78,11.37,11.02,11.63
