,mean_before,std_before,mean_after,std_after
ACO2,11.262539062499998,0.5379653454862129,3.0311401536901408e-15,1.0
ALDOA,14.728671875000002,0.7845721023073885,-2.0631644540950824e-15,1.0
ALDOB,1.5190494791666669,0.9700371678787473,-2.266705341943028e-16,1.0
ALDOC,7.688645833333333,1.5427097308880302,1.0177044392397268e-16,1.0
COX4I1,11.858971354166664,0.7838179944740148,2.960594732333751e-15,1.0
COX5A,10.4924609375,0.587924385629559,-1.1194748831636996e-15,1.0
COX5B,10.596783854166667,0.7347377611986127,1.0639637319324417e-16,0.9999999999999998
COX6A1,11.207408854166667,0.6894860845455816,-8.511709855459534e-16,1.0
COX6B1,11.5409765625,0.6909996609207569,1.2490009027033011e-15,1.0
COX7A1,6.460013020833332,1.368497162889553,6.892634611214513e-16,1.0
COX7A2,10.667421875,0.6477314694146125,-8.141635513917814e-16,1.0
CS,11.8733984375,0.4200733003617646,-1.304512053934559e-15,1.0
CYC1,11.104401041666668,0.7663335935708147,-1.2906342661267445e-15,1.0
ENO1,13.934075520833332,0.8371310848487633,1.502270530195915e-15,1.0
ENO2,9.350989583333332,1.3656523425167435,9.066821367772111e-16,1.0
ENO3,5.579869791666667,1.181317402058267,-1.6653345369377348e-16,0.9999999999999999
FH,10.820117187500001,0.5494369400095875,-1.9845236565174673e-15,1.0
G6PD,10.272994791666667,0.8145698283069179,-5.134781488891349e-16,1.0
GAPDH,15.493867187500001,0.8114880937359837,-1.4224732503009818e-15,1.0
GPI,12.509427083333334,0.6938815749447489,-4.730012677830094e-16,1.0
HK1,11.981276041666666,0.46945438312432136,1.5681900222830336e-15,1.0
HK2,10.892226562500001,0.9286437746553629,-1.27675647831893e-15,1.0
HK3,5.558893229166666,1.7167164008948663,1.5728159515523052e-16,1.0
IDH2,11.740950520833332,0.868828585497487,1.7763568394002505e-15,1.0
IDH3A,9.8123828125,0.5544793762506011,1.3854658161468099e-15,0.9999999999999999
LDHA,13.566653645833332,0.677723488081231,1.6329530320528345e-15,1.0
LDHB,11.232500000000002,1.4180229364294132,-1.2212453270876722e-15,1.0
LDHC,2.51140625,2.0748133486840312,6.707597440443654e-17,1.0
MDH2,11.871184895833332,0.5407024039415312,1.7954387976359953e-15,1.0
NDUFA1,10.50109375,0.6323125343801825,-1.239749044164758e-15,1.0
NDUFA2,9.944479166666667,0.7742682053414659,-9.80697005085555e-16,1.0
NDUFA3,9.3573046875,0.85868454069075,9.298117831235686e-16,1.0
NDUFA4,11.5723046875,0.5833956490373218,-1.4895492247054183e-15,1.0
NDUFA5,10.512356770833334,0.539484560420344,-5.458596537740353e-16,0.9999999999999999
NDUFA6,9.9590625,0.5757925494255065,1.4802973661668753e-16,1.0
NDUFA7,9.368528645833335,0.8058105779739403,-1.7856086979387933e-15,1.0
NDUFB1,9.284778645833333,0.7046607387069943,8.419191270074103e-16,1.0
NDUFB2,10.398398437500001,0.6779320212198333,-1.3507713466272737e-15,1.0
NDUFB3,9.384778645833334,0.46949161437777054,-1.8226161320929655e-15,1.0
